# seed=3876023864849680181 range=20000-100000 blocks
-98184,-18904
-88776,-35064
-62104,-62072
-56920,59416
-53176,49000
-50776,-17592
-49336,-25448
-48296,37640
-45608,69608
-37688,46360
-36712,-85272
-37048,-4696
-31304,-12504
-31560,94168
-30472,-12728
-22568,-12472
-19960,-77720
-18680,-32760
-14664,-20088
-12424,-72440
-12360,85864
-7256,39960
-1032,-64648
-984,50728
3112,-67144
12040,82488
14680,-76392
24712,-15880
32376,-43240
32472,21896
34776,-44600
47976,-12136
48264,50536
50504,2792
61736,47832
65800,37608
69368,31160
75976,32280
77256,11640
82456,-14760
95400,-7192
